0xa20,0xf48,0xfcb,0xfec,0xa40,0xfdc,0x747,0xf40,
0xffc,0xfe7,0x00,0xf83,0xf60,0x6bc,0x75b,0xf4c,
0x99b,0xf24,0xf9b,0xf2c,0xa28,0xa17,0xf6b,0xa2c,
